clustering coefficient,degree
0.040265385,94
0.01921757,94
0.039270687,93
0.01659654,93
0.015194016,93
0.010752688,93
0.428332537,92
0.080984233,92
0.069517439,92
0.051839465,92
0.044194935,92
0.022455805,92
0.005733397,92
0.294261294,91
0.11990232,91
0.073504274,91
0.03003663,91
0.439950062,90
0.298127341,90
0.147315855,90
0.113358302,90
0.029213483,90
0.027715356,90
0.024469413,90
0.019725343,90
0.011735331,90
0.009987516,90
0.009737828,90
0.28907048,89
0.128192033,89
0.073799796,89
0.051327886,89
0.048774259,89
0.039581205,89
0.031154239,89
0.019918284,89
0.009959142,89
0.128526646,88
0.083333333,88
0.044670846,88
0.02246604,88
0.016980146,88
0.202085004,87
0.160384924,87
0.121625234,87
0.110665597,87
0.100775194,87
0.082865544,87
0.079925154,87
0.033146218,87
0.032344293,87
0.027800053,87
0.026196204,87
0.021117348,87
0.020582732,87
0.017107725,87
0.015236568,87
0.158686731,86
0.054719562,86
0.107282913,85
0.073109244,85
0.066946779,85
0.051260504,85
0.039495798,85
0.356569134,84
0.123637407,84
0.12248996,84
0.044463569,84
0.043602983,84
0.027251865,84
0.085806641,83
0.083749633,83
0.079047899,83
0.055833088,83
0.030267411,83
0.015574493,83
0.015280635,83
0.429990967,82
0.202950918,82
0.116230051,82
0.09424872,82
0.056308341,82
0.043661548,82
0.043661548,82
0.028605842,82
0.026799157,82
0.019572418,82
0.018669076,82
0.012044565,82
0.245987654,81
0.151851852,81
0.129012346,81
0.114814815,81
0.077160494,81
0.041049383,81
0.038580247,81
0.028395062,81
0.02345679,81
0.436392405,80
0.120886076,80
0.079113924,80
0.071518987,80
0.060126582,80
0.054113924,80
0.031012658,80
0.029113924,80
0.452450503,79
0.247971438,79
0.213567024,79
0.17429406,79
0.171048361,79
0.106134372,79
0.098020123,79
0.092827004,79
0.067510549,79
0.050308341,79
0.038948393,79
0.017202207,79
0.014605648,79
0.141192141,78
0.132201132,78
0.123210123,78
0.018315018,78
0.230690362,77
0.12303486,77
0.099453178,77
0.092276145,77
0.090225564,77
0.085782638,77
0.084415584,77
0.060492139,77
0.021189337,77
0.021189337,77
0.017088175,77
0.22877193,76
0.18245614,76
0.153684211,76
0.151578947,76
0.147719298,76
0.12245614,76
0.066666667,76
0.028070175,76
0.021052632,76
0.018245614,76
0.013333333,76
0.004561404,76
0.127207207,75
0.091171171,75
0.069189189,75
0.049369369,75
0.043243243,75
0.043243243,75
0.039279279,75
0.027027027,75
0.023783784,75
0.016216216,75
0.011531532,75
0.151425398,74
0.136245835,74
0.134024435,74
0.112180674,74
0.069233617,74
0.054794521,74
0.040725657,74
0.033320992,74
0.027027027,74
0.019252129,74
0.160958904,73
0.158675799,73
0.114916286,73
0.087138508,73
0.050228311,73
0.045281583,73
0.017123288,73
0.42370892,72
0.114241002,72
0.113067293,72
0.098200313,72
0.075508607,72
0.060641628,72
0.060641628,72
0.056729264,72
0.032081377,72
0.027777778,72
0.014475743,72
0.012519562,72
0.005477308,72
0.128370221,71
0.107847082,71
0.101810865,71
0.025352113,71
0.331677019,70
0.193374741,70
0.169358178,70
0.051759834,70
0.050517598,70
0.03436853,70
0.025258799,70
0.144927536,69
0.073316283,69
0.046888321,69
0.039641944,69
0.033248082,69
0.016624041,69
0.015345269,69
0.014919011,69
0.012787724,69
0.155399473,68
0.113696225,68
0.080333626,68
0.059262511,68
0.057067603,68
0.051360843,68
0.046532046,68
0.03380158,68
0.469470828,67
0.127996382,67
0.10990502,67
0.108548168,67
0.077792854,67
0.064224333,67
0.063319765,67
0.062415197,67
0.042966983,67
0.024875622,67
0.021709634,67
0.401398601,66
0.165501166,66
0.047086247,66
0.038228438,66
0.034498834,66
0.030769231,66
0.025641026,66
0.008391608,66
0.421153846,65
0.134134615,65
0.123557692,65
0.119711538,65
0.102403846,65
0.071153846,65
0.067307692,65
0.052403846,65
0.040384615,65
0.034134615,65
0.033653846,65
0.031730769,65
0.027884615,65
0.025480769,65
0.504960317,64
0.15327381,64
0.111111111,64
0.093253968,64
0.081845238,64
0.036706349,64
0.035714286,64
0.01140873,64
0.006448413,64
0.164874552,63
0.140809012,63
0.130056324,63
0.05734767,63
0.053763441,63
0.035330261,63
0.027137737,63
0.02406554,63
0.023553507,63
0.013824885,63
0.00563236,63
0.251189847,62
0.11581174,62
0.100475939,62
0.088313062,62
0.083024855,62
0.077207827,62
0.058699101,62
0.053410894,62
0.048122686,62
0.046007403,62
0.042305658,62
0.035430989,62
0.033844527,62
0.028556319,62
0.027498678,62
0.023268112,62
0.021152829,62
0.019037546,62
0.01427816,62
0.006345849,62
0.005288207,62
0.45136612,61
0.11420765,61
0.079234973,61
0.056284153,61
0.045901639,61
0.044808743,61
0.030601093,61
0.026229508,61
0.013661202,61
0.01147541,61
0.126553672,60
0.123728814,60
0.098870056,60
0.097175141,60
0.092090395,60
0.091525424,60
0.091525424,60
0.088700565,60
0.074011299,60
0.061581921,60
0.034463277,60
0.028813559,60
0.027118644,60
0.024858757,60
0.003954802,60
0.388661601,59
0.14552893,59
0.113383986,59
0.107539451,59
0.0578609,59
0.057276447,59
0.045587376,59
0.040911748,59
0.039158387,59
0.038573933,59
0.031560491,59
0.026884863,59
0.024547049,59
0.017533606,59
0.011689071,59
0.001168907,59
0.264972777,58
0.184513007,58
0.154869933,58
0.139745917,58
0.082274652,58
0.067755596,58
0.06291591,58
0.06291591,58
0.058076225,58
0.030852995,58
0.028433152,58
0.02661827,58
0.021173624,58
0.015728978,58
0.598370927,57
0.181704261,57
0.1660401,57
0.109022556,57
0.090225564,57
0.084586466,57
0.06641604,57
0.058897243,57
0.05764411,57
0.057017544,57
0.055764411,57
0.038220551,57
0.032581454,57
0.028195489,57
0.025689223,57
0.023182957,57
0.555844156,56
0.555194805,56
0.363636364,56
0.152597403,56
0.123376623,56
0.103246753,56
0.082467532,56
0.082467532,56
0.073376623,56
0.072727273,56
0.068181818,56
0.052597403,56
0.038961039,56
0.033116883,56
0.031168831,56
0.025324675,56
0.016883117,56
0.016233766,56
0.011688312,56
0.005194805,56
0.301683502,55
0.253198653,55
0.205387205,55
0.182491582,55
0.160942761,55
0.155555556,55
0.122558923,55
0.119191919,55
0.094276094,55
0.076094276,55
0.043771044,55
0.042424242,55
0.026936027,55
0.018181818,55
0.012794613,55
0.36687631,54
0.216631726,54
0.129979036,54
0.118099231,54
0.103424179,54
0.096436059,54
0.081062194,54
0.036338225,54
0.027952481,54
0.018867925,54
0.018867925,54
0.17053701,53
0.161103048,53
0.116110305,53
0.11030479,53
0.089259797,53
0.079825835,53
0.067489115,53
0.062409289,53
0.055152395,53
0.04934688,53
0.045718433,53
0.035558781,53
0.034107402,53
0.030478955,53
0.020319303,53
0.007256894,53
0.001451379,53
0.319004525,52
0.177224736,52
0.119909502,52
0.112368024,52
0.104826546,52
0.104072398,52
0.092006033,52
0.07918552,52
0.075414781,52
0.071644042,52
0.068627451,52
0.064856712,52
0.062594268,52
0.052790347,52
0.052036199,52
0.045248869,52
0.044494721,52
0.033936652,52
0.03092006,52
0.025641026,52
0.024886878,52
0.013574661,52
0.012820513,52
0.012066365,52
0.00678733,52
0.198431373,51
0.197647059,51
0.159215686,51
0.136470588,51
0.112156863,51
0.090980392,51
0.074509804,51
0.07372549,51
0.038431373,51
0.024313725,51
0.013333333,51
0.01254902,51
0.004705882,51
0.333877551,50
0.300408163,50
0.263673469,50
0.256326531,50
0.175510204,50
0.113469388,50
0.111020408,50
0.08244898,50
0.075918367,50
0.070204082,50
0.067755102,50
0.066938776,50
0.056326531,50
0.053877551,50
0.04244898,50
0.04,50
0.029387755,50
0.026122449,50
0.026122449,50
0.026122449,50
0.020408163,50
0.017142857,50
0.013877551,50
0.004081633,50
0.00244898,50
0.392857143,49
0.390306122,49
0.307823129,49
0.153911565,49
0.131802721,49
0.130102041,49
0.120748299,49
0.114795918,49
0.090986395,49
0.078231293,49
0.073979592,49
0.068877551,49
0.052721088,49
0.045918367,49
0.041666667,49
0.032312925,49
0.023809524,49
0.017006803,49
0.015306122,49
0.011904762,49
0.010204082,49
0.291666667,48
0.273049645,48
0.242021277,48
0.157801418,48
0.141843972,48
0.137411348,48
0.133865248,48
0.090425532,48
0.090425532,48
0.089539007,48
0.079787234,48
0.07712766,48
0.07535461,48
0.074468085,48
0.058510638,48
0.040780142,48
0.034574468,48
0.031028369,48
0.022163121,48
0.016843972,48
0.009751773,48
0.636447734,47
0.246993525,47
0.240518039,47
0.216466235,47
0.209990749,47
0.197964847,47
0.111008326,47
0.10453284,47
0.099907493,47
0.098057354,47
0.095282146,47
0.086956522,47
0.063829787,47
0.049953747,47
0.049953747,47
0.042553191,47
0.039777983,47
0.036077706,47
0.028677151,47
0.026827012,47
0.024976873,47
0.020351526,47
0.01480111,47
0.012950971,47
0.012025902,47
0.533333333,46
0.257004831,46
0.199033816,46
0.130434783,46
0.115942029,46
0.112077295,46
0.109178744,46
0.107246377,46
0.08115942,46
0.07826087,46
0.053140097,46
0.045410628,46
0.028019324,46
0.024154589,46
0.017391304,46
0.012560386,46
0.010628019,46
0.002898551,46
0.595959596,45
0.268686869,45
0.209090909,45
0.204040404,45
0.163636364,45
0.142424242,45
0.14040404,45
0.138383838,45
0.096969697,45
0.081818182,45
0.07979798,45
0.06969697,45
0.068686869,45
0.067676768,45
0.067676768,45
0.065656566,45
0.062626263,45
0.051515152,45
0.049494949,45
0.038383838,45
0.037373737,45
0.036363636,45
0.036363636,45
0.034343434,45
0.033333333,45
0.026262626,45
0.02020202,45
0.019191919,45
0.019191919,45
0.019191919,45
0.016161616,45
0.011111111,45
0.01010101,45
0.005050505,45
0.466173362,44
0.339323467,44
0.216701903,44
0.146934461,44
0.142706131,44
0.117336152,44
0.114164905,44
0.083509514,44
0.075052854,44
0.063424947,44
0.05602537,44
0.05602537,44
0.046511628,44
0.027484144,44
0.019027484,44
0.011627907,44
0.007399577,44
0.574750831,43
0.242524917,43
0.234772979,43
0.233665559,43
0.150609081,43
0.138427464,43
0.122923588,43
0.118493909,43
0.11517165,43
0.11406423,43
0.102990033,43
0.091915836,43
0.088593577,43
0.088593577,43
0.086378738,43
0.083056478,43
0.081949059,43
0.070874862,43
0.067552602,43
0.046511628,43
0.045404208,43
0.03986711,43
0.03986711,43
0.03986711,43
0.033222591,43
0.027685493,43
0.026578073,43
0.025470653,43
0.023255814,43
0.017718715,43
0.013289037,43
0.387921022,42
0.170731707,42
0.142857143,42
0.12311266,42
0.119628339,42
0.111498258,42
0.081300813,42
0.059233449,42
0.048780488,42
0.044134727,42
0.044134727,42
0.040650407,42
0.038327526,42
0.037166086,42
0.031358885,42
0.026713124,42
0.022067364,42
0.013937282,42
0.011614402,42
0.00116144,42
0.241463415,41
0.143902439,41
0.117073171,41
0.112195122,41
0.109756098,41
0.106097561,41
0.090243902,41
0.090243902,41
0.084146341,41
0.084146341,41
0.064634146,41
0.06097561,41
0.052439024,41
0.042682927,41
0.03902439,41
0.035365854,41
0.035365854,41
0.034146341,41
0.032926829,41
0.032926829,41
0.030487805,41
0.026829268,41
0.025609756,41
0.023170732,41
0.002439024,41
0.387179487,40
0.306410256,40
0.244871795,40
0.207692308,40
0.167948718,40
0.16025641,40
0.152564103,40
0.143589744,40
0.128205128,40
0.107692308,40
0.105128205,40
0.093589744,40
0.08974359,40
0.08974359,40
0.078205128,40
0.071794872,40
0.070512821,40
0.062820513,40
0.06025641,40
0.057692308,40
0.048717949,40
0.038461538,40
0.037179487,40
0.026923077,40
0.020512821,40
0.012820513,40
0.012820513,40
0.011538462,40
0.005128205,40
0.187584345,39
0.164642375,39
0.140350877,39
0.137651822,39
0.130904184,39
0.129554656,39
0.124156545,39
0.120107962,39
0.095816464,39
0.095816464,39
0.062078273,39
0.05802969,39
0.052631579,39
0.052631579,39
0.051282051,39
0.048582996,39
0.045883941,39
0.041835358,39
0.039136302,39
0.036437247,39
0.035087719,39
0.035087719,39
0.032388664,39
0.032388664,39
0.026990553,39
0.026990553,39
0.025641026,39
0.013495277,39
0.013495277,39
0.013495277,39
0.010796221,39
0.26458037,38
0.220483642,38
0.179231863,38
0.160739687,38
0.152204836,38
0.135135135,38
0.13086771,38
0.118065434,38
0.118065434,38
0.103840683,38
0.102418208,38
0.093883357,38
0.092460882,38
0.089615932,38
0.079658606,38
0.07254623,38
0.06401138,38
0.062588905,38
0.06116643,38
0.059743954,38
0.058321479,38
0.046941679,38
0.039829303,38
0.032716927,38
0.029871977,38
0.018492176,38
0.018492176,38
0.015647226,38
0.008534851,38
0.0056899,38
0.301801802,37
0.219219219,37
0.1996997,37
0.198198198,37
0.190690691,37
0.187687688,37
0.166666667,37
0.162162162,37
0.153153153,37
0.147147147,37
0.133633634,37
0.132132132,37
0.115615616,37
0.115615616,37
0.10960961,37
0.108108108,37
0.085585586,37
0.084084084,37
0.084084084,37
0.084084084,37
0.072072072,37
0.072072072,37
0.070570571,37
0.067567568,37
0.067567568,37
0.066066066,37
0.064564565,37
0.063063063,37
0.055555556,37
0.046546547,37
0.040540541,37
0.031531532,37
0.028528529,37
0.027027027,37
0.025525526,37
0.025525526,37
0.024024024,37
0.01951952,37
0.01951952,37
0.016516517,37
0.013513514,37
0.006006006,37
0.006006006,37
0.006006006,37
0.46031746,36
0.438095238,36
0.292063492,36
0.214285714,36
0.192063492,36
0.177777778,36
0.173015873,36
0.153968254,36
0.142857143,36
0.126984127,36
0.119047619,36
0.117460317,36
0.117460317,36
0.106349206,36
0.096825397,36
0.093650794,36
0.082539683,36
0.074603175,36
0.074603175,36
0.058730159,36
0.057142857,36
0.044444444,36
0.044444444,36
0.044444444,36
0.041269841,36
0.038095238,36
0.034920635,36
0.033333333,36
0.031746032,36
0.022222222,36
0.017460317,36
0.015873016,36
0.226890756,35
0.21512605,35
0.2,35
0.198319328,35
0.193277311,35
0.166386555,35
0.166386555,35
0.166386555,35
0.142857143,35
0.132773109,35
0.127731092,35
0.109243697,35
0.104201681,35
0.102521008,35
0.100840336,35
0.100840336,35
0.100840336,35
0.097478992,35
0.097478992,35
0.094117647,35
0.084033613,35
0.078991597,35
0.077310924,35
0.065546218,35
0.060504202,35
0.055462185,35
0.055462185,35
0.055462185,35
0.048739496,35
0.045378151,35
0.043697479,35
0.042016807,35
0.035294118,35
0.005042017,35
0.001680672,35
0.001680672,35
0.288770053,34
0.279857398,34
0.25311943,34
0.160427807,34
0.156862745,34
0.144385027,34
0.130124777,34
0.130124777,34
0.128342246,34
0.124777184,34
0.098039216,34
0.07486631,34
0.062388592,34
0.058823529,34
0.042780749,34
0.040998217,34
0.032085561,34
0.032085561,34
0.032085561,34
0.032085561,34
0.017825312,34
0.012477718,34
0.010695187,34
0.007130125,34
0.515151515,33
0.361742424,33
0.223484848,33
0.215909091,33
0.206439394,33
0.196969697,33
0.1875,33
0.166666667,33
0.151515152,33
0.143939394,33
0.142045455,33
0.128787879,33
0.115530303,33
0.113636364,33
0.107954545,33
0.107954545,33
0.104166667,33
0.102272727,33
0.09280303,33
0.09280303,33
0.090909091,33
0.089015152,33
0.087121212,33
0.083333333,33
0.079545455,33
0.075757576,33
0.075757576,33
0.070075758,33
0.068181818,33
0.060606061,33
0.056818182,33
0.053030303,33
0.049242424,33
0.041666667,33
0.037878788,33
0.03030303,33
0.028409091,33
0.026515152,33
0.024621212,33
0.024621212,33
0.017045455,33
0.013257576,33
0.009469697,33
0.009469697,33
0.007575758,33
0.005681818,33
0.453629032,32
0.366935484,32
0.366935484,32
0.304435484,32
0.290322581,32
0.231854839,32
0.219758065,32
0.185483871,32
0.165322581,32
0.161290323,32
0.149193548,32
0.127016129,32
0.122983871,32
0.120967742,32
0.120967742,32
0.118951613,32
0.112903226,32
0.106854839,32
0.102822581,32
0.092741935,32
0.090725806,32
0.088709677,32
0.088709677,32
0.086693548,32
0.076612903,32
0.074596774,32
0.072580645,32
0.072580645,32
0.070564516,32
0.066532258,32
0.054435484,32
0.054435484,32
0.050403226,32
0.038306452,32
0.036290323,32
0.028225806,32
0.02016129,32
0.016129032,32
0.016129032,32
0.010080645,32
0.008064516,32
0.008064516,32
0.006048387,32
0.006048387,32
0.35483871,31
0.346236559,31
0.251612903,31
0.23655914,31
0.208602151,31
0.2,31
0.174193548,31
0.169892473,31
0.169892473,31
0.167741935,31
0.165591398,31
0.144086022,31
0.141935484,31
0.135483871,31
0.120430108,31
0.113978495,31
0.113978495,31
0.111827957,31
0.107526882,31
0.101075269,31
0.098924731,31
0.094623656,31
0.094623656,31
0.086021505,31
0.086021505,31
0.077419355,31
0.077419355,31
0.077419355,31
0.07311828,31
0.064516129,31
0.060215054,31
0.060215054,31
0.060215054,31
0.058064516,31
0.055913978,31
0.051612903,31
0.047311828,31
0.043010753,31
0.043010753,31
0.043010753,31
0.038709677,31
0.03655914,31
0.032258065,31
0.030107527,31
0.027956989,31
0.027956989,31
0.023655914,31
0.021505376,31
0.017204301,31
0.010752688,31
0.008602151,31
0.006451613,31
0.229885057,30
0.216091954,30
0.209195402,30
0.202298851,30
0.197701149,30
0.174712644,30
0.154022989,30
0.147126437,30
0.142528736,30
0.128735632,30
0.128735632,30
0.126436782,30
0.126436782,30
0.124137931,30
0.114942529,30
0.110344828,30
0.108045977,30
0.103448276,30
0.098850575,30
0.096551724,30
0.085057471,30
0.085057471,30
0.075862069,30
0.066666667,30
0.066666667,30
0.066666667,30
0.062068966,30
0.057471264,30
0.057471264,30
0.055172414,30
0.055172414,30
0.055172414,30
0.050574713,30
0.048275862,30
0.048275862,30
0.048275862,30
0.045977011,30
0.04137931,30
0.032183908,30
0.027586207,30
0.025287356,30
0.025287356,30
0.022988506,30
0.022988506,30
0.022988506,30
0.020689655,30
0.020689655,30
0.016091954,30
0.016091954,30
0.013793103,30
0.011494253,30
0.006896552,30
0.006896552,30
0.006896552,30
0.004597701,30
0.002298851,30
0.002298851,30
0.342364532,29
0.342364532,29
0.298029557,29
0.273399015,29
0.219211823,29
0.192118227,29
0.187192118,29
0.155172414,29
0.130541872,29
0.118226601,29
0.118226601,29
0.115763547,29
0.113300493,29
0.108374384,29
0.10591133,29
0.093596059,29
0.091133005,29
0.086206897,29
0.086206897,29
0.078817734,29
0.07635468,29
0.07635468,29
0.068965517,29
0.0591133,29
0.0591133,29
0.056650246,29
0.056650246,29
0.056650246,29
0.054187192,29
0.051724138,29
0.041871921,29
0.041871921,29
0.039408867,29
0.036945813,29
0.036945813,29
0.036945813,29
0.034482759,29
0.014778325,29
0.012315271,29
0.009852217,29
0.009852217,29
0.004926108,29
0.658730159,28
0.407407407,28
0.341269841,28
0.333333333,28
0.26984127,28
0.243386243,28
0.23015873,28
0.216931217,28
0.195767196,28
0.171957672,28
0.153439153,28
0.14021164,28
0.14021164,28
0.137566138,28
0.119047619,28
0.116402116,28
0.113756614,28
0.111111111,28
0.108465608,28
0.103174603,28
0.103174603,28
0.103174603,28
0.100529101,28
0.097883598,28
0.095238095,28
0.095238095,28
0.092592593,28
0.087301587,28
0.087301587,28
0.084656085,28
0.084656085,28
0.079365079,28
0.079365079,28
0.079365079,28
0.063492063,28
0.063492063,28
0.060846561,28
0.060846561,28
0.058201058,28
0.052910053,28
0.047619048,28
0.047619048,28
0.047619048,28
0.042328042,28
0.03968254,28
0.037037037,28
0.037037037,28
0.026455026,28
0.023809524,28
0.015873016,28
0.013227513,28
0.013227513,28
0.007936508,28
0.002645503,28
0.002645503,28
0.002645503,28
0.259259259,27
0.245014245,27
0.205128205,27
0.202279202,27
0.199430199,27
0.196581197,27
0.168091168,27
0.162393162,27
0.162393162,27
0.162393162,27
0.150997151,27
0.148148148,27
0.142450142,27
0.133903134,27
0.133903134,27
0.122507123,27
0.116809117,27
0.116809117,27
0.116809117,27
0.111111111,27
0.111111111,27
0.105413105,27
0.0997151,27
0.0997151,27
0.096866097,27
0.096866097,27
0.082621083,27
0.076923077,27
0.074074074,27
0.074074074,27
0.074074074,27
0.071225071,27
0.068376068,27
0.068376068,27
0.05982906,27
0.054131054,27
0.054131054,27
0.051282051,27
0.051282051,27
0.048433048,27
0.048433048,27
0.048433048,27
0.045584046,27
0.045584046,27
0.045584046,27
0.045584046,27
0.045584046,27
0.045584046,27
0.042735043,27
0.03988604,27
0.037037037,27
0.034188034,27
0.031339031,27
0.028490028,27
0.028490028,27
0.014245014,27
0.011396011,27
0.011396011,27
0.011396011,27
0.008547009,27
0.002849003,27
